raw_string,old_ror_name,new_ror_name,reason,chosen_score
"Guangzhou Univ Chinese Med, Inst Clin Pharmacol, Guangzhou 510405, Peoples R China",Guangzhou University,Guangzhou University of Chinese Medicine,rule_match_disagree,1.0
"Affiliated Hospital of Nanjing University of Chinese Medicine, Jiangsu, Nanjing, China",Nanjing University,Nanjing University of Chinese Medicine,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, Longhua Hosp, Shanghai, Peoples R China",Longhua Hospital Shanghai University of Traditional Chinese Medicine,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.74
"Department of Neurology, Affiliated Hospital of Shandong University of Traditional Chinese Medicine, Shandong Province, Jinan, 250011, China",Shandong University,Shandong University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, Inst Interdisciplinary Integrat Med Res, Shanghai Frontiers Sci Ctr TCM Chem Biol, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"School of Pharmacy, Hunan University of Chinese Medicine, Hunan, Changsha, 410208, China",Hunan University,Hunan University of Chinese Medicine,rule_match_disagree,1.0
"1200 Cailun Rd, Shanghai 201203, Peoples R China",Shanghai University,(unmatched),catch_all_no_rule,0.75
"Univ Calif San Francisco, Sch Pharm, Dept Clin Pharm, San Francisco, CA 94143 USA",Israel Cancer Association USA,(unmatched),catch_all_no_rule,0.92
"Second Mil Med Univ, Eastern Hepatobiliary Surg Hosp, Dept Pharm, Shanghai 200438, Peoples R China",Eastern Hepatobiliary Surgery Hospital,Naval Medical University,rule_match_disagree,0.9
"Shanghai Univ Tradit Chinese Med, Res Ctr Tradit Chinese Med & Syst Biol, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.75
"Shanghai Univ Tradit Chinese Med, Res Ctr Tradit Chinese Med Complex Syst, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.75
"Guangzhou Univ Chinese Med, Interat Inst Translat Chinese Med, Guangzhou 510006, Guangdong, Peoples R China",Guangzhou University,Guangzhou University of Chinese Medicine,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, Inst Chinese Mat Med, MOE Key Lab Standardizat Chinese Med, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.75
"Shanghai Univ Tradit Chinese Med, Inst Chinese Mat Med, SATCM Key Lab New Resources & Qual Evaluat Chines, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.75
"Second Mil Med Univ, Changzheng Hosp, Dept Pharm, Shanghai, Peoples R China",HEC Pharm (China),Naval Medical University,rule_match_disagree,0.74
"Shanghai Univ Tradit Chinese Med, Shanghai Key Lab Compound Chinese Med, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.75
"School of Pharmacy, Shanghai University of Traditional Chinese Medicine, Shanghai, 201210, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"The First Affiliated Hospital of Guangzhou University of Chinese Medicine, Guangzhou, China",First Affiliated Hospital of Guangzhou University of Chinese Medicine,Guangzhou University of Chinese Medicine,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, LongHua Hosp, Dept Emergency, Shanghai 200032, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.75
"School of Basic Medical Science, Shanghai University of Traditional Chinese Medicine, Shanghai, 201203, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Western Univ Hlth Sci, Coll Pharm, Ctr Adv Drug Res & Evaluat, Pomona, CA USA",Israel Cancer Association USA,(unmatched),catch_all_no_rule,0.92
"Department of Pharmacognosy, School of Pharmacy, Second Military Medical University, Shanghai, 200433, China",Second Military Medical University,Naval Medical University,rule_match_disagree,1.0
"School of Pharmacy, Hunan University of Chinese Medicine, Changsha, 410208, China",Changchun University of Chinese Medicine,Hunan University of Chinese Medicine,rule_match_disagree,0.9
"Univ Calif San Diego, San Diego, CA 92103 USA",Israel Cancer Association USA,(unmatched),catch_all_no_rule,0.92
