keyword,n_records,decision
humans,740,DROP
metabolism,590,DROP
animals,540,DROP
male,348,DROP
rats,324,DROP
expression,316,DROP
mice,298,DROP
female,256,DROP
rat,124,DROP
adult,73,DROP
middle aged,64,DROP
aged,52,DROP
human,46,DROP
review,38,DROP
mouse,32,DROP
in vitro,28,DROP
