1	2	257
1	3	8
1	4	129
1	5	23
1	6	41
1	7	49
1	8	81
1	9	58
1	10	19
1	11	21
1	12	12
1	13	92
1	14	4
1	17	9
1	19	6
1	20	3
1	21	15
1	22	6
1	24	3
1	25	18
1	26	3
1	27	3
1	28	3
1	29	6
1	30	4
1	35	3
1	36	10
1	37	6
1	38	3
1	39	24
1	40	3
1	41	8
1	43	5
1	49	7
2	3	30
2	4	27
2	5	13
2	6	34
2	7	8
2	8	15
2	9	19
2	10	10
2	11	32
2	12	11
2	13	12
2	14	19
2	15	21
2	16	8
2	18	8
2	19	7
2	20	4
2	21	4
2	22	10
2	23	3
2	24	8
2	25	8
2	27	5
2	28	4
2	29	4
2	30	13
2	33	9
2	34	5
2	37	3
2	38	4
2	40	4
2	41	5
2	45	6
2	46	3
2	49	7
2	52	4
2	55	7
2	56	3
2	57	3
3	5	5
3	6	4
3	7	4
3	8	3
3	9	5
3	12	22
3	14	4
3	15	3
3	16	5
3	17	8
3	22	3
3	23	4
3	24	4
3	28	4
3	34	3
3	42	4
3	44	3
4	6	24
4	9	10
4	10	5
4	11	7
4	13	17
4	27	3
5	6	5
5	12	3
5	21	3
5	47	4
6	7	3
6	8	3
6	9	20
6	10	8
6	11	6
6	12	3
6	13	4
6	14	13
6	15	4
6	17	4
6	18	3
6	19	3
6	20	6
6	21	3
6	22	5
6	23	4
6	25	5
6	27	5
6	31	3
6	33	3
6	35	3
6	37	8
6	40	3
6	42	4
6	45	3
6	50	3
7	8	11
7	10	4
7	14	4
7	17	3
7	19	6
7	32	4
8	47	3
9	10	8
9	11	4
9	13	7
9	25	10
9	33	3
9	36	3
9	41	6
10	14	4
10	15	3
10	18	3
10	20	3
10	22	4
10	23	4
10	24	5
10	27	14
10	28	5
10	29	3
10	30	3
10	31	4
10	37	4
10	38	4
10	40	3
11	15	4
11	31	3
11	41	5
12	16	3
12	17	5
12	19	3
12	21	22
12	24	14
12	28	3
12	29	3
12	33	5
12	42	3
12	44	4
14	16	6
14	22	9
14	23	3
14	24	3
14	27	3
14	28	4
14	29	4
14	31	4
14	35	5
14	37	3
14	59	5
15	45	6
15	55	4
16	59	3
17	19	3
17	21	4
17	32	4
18	36	4
20	22	3
20	27	4
21	29	3
21	42	4
22	23	3
22	28	4
22	29	3
22	37	3
22	50	3
22	58	6
24	42	5
24	44	3
25	41	4
27	38	3
29	51	4
33	42	3
33	52	3
34	61	3
36	37	3
