37	95	325
52	80	310
27	52	205
36	95	171
52	95	167
80	95	165
15	37	150
52	59	149
76	80	143
52	76	143
27	59	138
27	80	133
61	80	129
51	61	129
36	80	125
78	80	125
59	80	124
36	52	122
52	92	121
52	82	118
52	83	116
31	52	113
10	37	108
16	37	103
15	95	101
27	36	101
10	95	100
71	74	99
12	80	98
27	76	98
76	95	95
80	99	92
89	95	91
52	68	91
52	67	90
43	52	86
5	19	85
37	91	83
8	37	83
52	84	82
27	95	81
80	92	81
10	15	80
59	76	80
83	95	76
72	76	76
27	92	76
27	42	76
61	95	75
37	83	74
16	95	74
27	57	74
74	95	73
38	80	73
24	52	73
76	92	73
36	92	71
15	16	70
5	95	69
92	95	69
43	80	69
36	76	68
52	100	67
33	95	67
42	52	67
8	15	65
52	78	65
59	95	64
27	61	64
36	59	64
82	95	63
35	61	62
5	52	62
32	95	61
91	95	61
8	95	60
10	16	60
61	92	60
32	37	59
57	59	59
82	83	57
75	95	57
66	95	57
80	85	56
52	57	56
63	95	55
27	43	55
43	95	54
68	80	54
67	82	53
62	80	53
35	80	53
12	76	52
27	38	52
45	92	52
52	61	51
33	37	50
31	36	50
67	95	49
35	95	49
19	52	49
35	52	49
43	59	49
31	95	48
80	81	47
14	95	47
80	100	47
24	27	47
24	76	47
68	95	47
51	80	47
42	80	47
12	52	46
52	97	46
19	95	46
15	91	45
24	59	45
42	59	45
37	89	44
8	10	44
9	95	44
52	90	44
69	80	44
26	52	43
80	94	43
44	95	42
70	74	42
80	88	42
57	80	42
27	54	42
44	80	42
38	52	42
28	52	42
24	80	41
59	66	41
59	61	41
45	52	41
25	52	40
82	84	40
52	98	40
44	52	40
90	95	40
5	21	40
66	80	40
1	80	40
37	82	39
52	63	39
52	64	39
8	16	39
70	95	39
5	36	39
27	68	39
27	35	38
14	52	38
55	80	38
61	76	37
80	97	37
36	43	37
71	95	36
73	95	36
76	97	36
5	92	36
66	76	36
65	95	35
43	61	35
35	76	35
43	76	35
36	68	35
36	100	34
9	75	34
58	75	34
14	80	34
57	92	34
1	76	34
38	59	34
36	61	34
59	92	34
52	66	34
94	95	33
52	94	33
19	68	33
48	52	33
68	92	33
31	92	33
43	92	33
34	52	33
59	68	33
44	59	33
10	91	32
16	91	32
18	95	32
10	76	32
11	80	32
47	52	32
52	55	32
17	52	32
17	95	32
9	52	31
58	95	31
52	54	31
36	57	31
27	55	31
27	51	31
17	76	31
52	85	31
25	95	30
95	96	30
81	95	30
56	80	30
78	100	30
14	18	30
38	76	30
12	59	30
72	95	30
48	92	30
63	80	30
27	28	30
51	95	30
27	66	30
93	95	30
67	83	29
64	95	29
27	40	29
12	27	29
26	95	28
31	61	28
57	76	28
61	78	28
24	36	28
19	36	28
28	59	28
17	80	28
27	94	27
10	72	27
31	82	26
95	100	26
52	87	26
56	95	26
58	74	26
1	12	26
12	95	26
47	98	26
41	95	26
44	76	26
68	76	26
31	68	26
45	80	26
25	83	25
36	82	25
26	83	25
10	75	25
66	74	25
5	14	25
27	39	25
27	64	25
53	95	25
13	95	25
95	97	25
14	76	25
28	92	25
19	31	25
35	59	25
24	57	25
64	80	25
4	95	24
63	83	24
83	89	24
20	95	24
27	44	24
52	73	24
18	52	24
41	90	24
52	72	24
45	76	24
57	95	24
28	80	24
52	56	24
17	59	24
52	60	24
32	89	23
25	26	23
36	67	23
15	83	23
40	80	23
40	95	23
72	80	23
60	76	23
54	59	23
48	76	23
61	68	23
52	79	23
79	92	23
5	86	23
34	95	23
51	92	23
10	59	23
52	93	23
36	42	23
55	95	23
67	84	22
33	83	22
23	52	22
86	95	22
10	52	22
12	36	22
52	53	22
5	90	22
36	48	22
56	76	22
27	98	22
46	80	22
27	45	22
45	95	22
5	31	22
43	68	22
5	61	22
22	52	22
43	51	22
38	95	22
33	89	21
11	95	21
36	63	21
36	44	21
52	86	21
23	95	21
42	95	21
24	38	21
21	95	21
14	61	21
53	61	21
1	52	21
27	56	21
69	95	21
19	86	21
2	52	21
43	57	21
3	59	21
28	95	21
24	95	21
10	17	21
10	33	20
15	33	20
63	89	20
31	84	20
26	63	20
37	67	20
46	52	20
29	95	20
7	9	20
78	95	20
36	90	20
36	94	20
72	97	20
50	95	20
54	80	20
27	97	20
92	100	20
35	43	20
60	80	20
48	80	20
28	76	20
3	57	20
27	63	20
59	78	20
54	95	20
2	80	20
4	37	19
40	52	19
57	61	19
4	80	19
27	48	19
80	90	19
40	59	19
76	79	19
22	80	19
51	59	19
59	63	19
17	27	19
59	100	19
47	80	19
52	96	18
36	64	18
16	33	18
9	37	18
11	37	18
1	95	18
37	74	18
21	52	18
52	81	18
20	52	18
14	19	18
14	72	18
18	72	18
27	31	18
19	61	18
65	80	18
73	80	18
77	95	18
12	87	18
43	66	18
5	80	18
34	80	18
3	27	18
85	95	18
43	75	18
80	93	18
36	54	18
17	66	18
35	68	18
2	95	18
9	44	17
64	83	17
8	91	17
31	80	17
52	75	17
10	58	17
10	74	17
39	80	17
12	66	17
49	95	17
21	36	17
9	80	17
54	61	17
80	98	17
75	80	17
24	61	17
36	51	17
34	92	17
42	61	17
24	43	17
14	59	17
42	57	17
55	59	17
12	61	17
52	69	17
14	27	17
17	38	17
36	89	16
25	36	16
33	52	16
26	89	16
37	75	16
37	44	16
10	14	16
10	13	16
73	76	16
38	54	16
50	75	16
88	95	16
23	80	16
41	52	16
76	78	16
34	36	16
24	92	16
78	92	16
19	92	16
56	59	16
79	95	16
3	52	16
5	18	16
59	72	16
