1	2	257
1	4	129
1	13	92
1	8	81
9	1	58
1	7	49
1	6	41
6	2	34
11	2	32
3	2	30
4	2	27
6	4	24
1	39	24
1	5	23
21	12	22
3	12	22
11	1	21
2	15	21
9	6	20
14	2	19
9	2	19
1	10	19
1	25	18
4	13	17
8	2	15
1	21	15
24	12	14
27	10	14
30	2	13
6	14	13
5	2	13
1	12	12
13	2	12
12	2	11
7	8	11
10	2	10
22	2	10
1	36	10
9	4	10
9	25	10
33	2	9
1	17	9
22	14	9
18	2	8
6	37	8
1	41	8
24	2	8
1	3	8
9	10	8
25	2	8
16	2	8
7	2	8
3	17	8
10	6	8
1	49	7
49	2	7
19	2	7
9	13	7
2	55	7
11	4	7
1	37	6
58	22	6
1	22	6
7	19	6
16	14	6
45	15	6
1	29	6
20	6	6
1	19	6
9	41	6
11	6	6
45	2	6
42	24	5
1	43	5
14	35	5
6	5	5
3	16	5
10	24	5
6	25	5
9	3	5
10	28	5
11	41	5
41	2	5
3	5	5
10	4	5
17	12	5
59	14	5
33	12	5
27	2	5
22	6	5
34	2	5
27	6	5
6	15	4
36	18	4
6	13	4
9	11	4
41	25	4
42	21	4
21	2	4
38	10	4
38	2	4
6	23	4
10	31	4
10	14	4
10	37	4
51	29	4
14	29	4
1	30	4
10	23	4
17	21	4
32	17	4
20	27	4
24	3	4
3	23	4
14	7	4
6	17	4
3	7	4
3	28	4
29	2	4
11	15	4
22	28	4
10	22	4
10	7	4
6	3	4
14	28	4
42	3	4
28	2	4
15	55	4
40	2	4
32	7	4
20	2	4
5	47	4
14	31	4
44	12	4
3	14	4
42	6	4
1	14	4
52	2	4
42	33	3
46	2	3
6	19	3
61	34	3
36	37	3
6	8	3
10	15	3
16	12	3
42	12	3
5	21	3
5	12	3
3	8	3
20	10	3
10	18	3
24	44	3
8	47	3
17	19	3
6	7	3
3	34	3
40	10	3
10	29	3
14	37	3
1	40	3
1	24	3
50	6	3
6	21	3
20	22	3
23	2	3
24	14	3
10	30	3
27	1	3
27	4	3
7	17	3
50	22	3
29	12	3
22	3	3
22	37	3
22	23	3
6	33	3
38	1	3
3	15	3
40	6	3
6	35	3
27	14	3
20	1	3
1	26	3
56	2	3
9	36	3
22	29	3
1	28	3
3	44	3
11	31	3
6	31	3
14	23	3
37	2	3
12	19	3
1	35	3
57	2	3
38	27	3
59	16	3
28	12	3
6	45	3
6	12	3
9	33	3
33	52	3
6	18	3
21	29	3
